locale,code,name,descr
"ar","ar","العربية","العربية"
"ar","cs","التشيكية","التشيكية"
"ar","da","الدانماركية","الدانماركية"
"ar","de","الألمانية","الألمانية"
"ar","en","الإنجليزية","الإنجليزية"
"ar","es","الإسبانية","الإسبانية"
"ar","fi","الفنلندية","الفنلندية"
"ar","fr","الفرنسية","الفرنسية"
"ar","hu","المجرية","المجرية"
"ar","it","الإيطالية","الإيطالية"
"ar","ja","اليابانية","اليابانية"
"ar","ko","الكورية","الكورية"
"ar","ms","الماليزية","الماليزية"
"ar","nl","الهولندية","الهولندية"
"ar","no","النرويجية","النرويجية"
"ar","pl","البولندية","البولندية"
"ar","pt","البرتغالية","البرتغالية"
"ar","ro","الرومانية","الرومانية"
"ar","ru","الروسية","الروسية"
"ar","sv","السويدية","السويدية"
"ar","th","التايلندية","التايلاندية"
"ar","tr","التركية","التركية"
"ar","zh_CN","الصينية المبسطة","الصينية المبسطة"
"ar","zh_TW","الصينية التقليدية","الصينية التقليدية"
