locale,code,name,descr
"bg","ar","Арабски","Арабски"
"bg","cs","Чешки","Чешки"
"bg","da","Датски","Датски"
"bg","de","Немски","Немски"
"bg","en","Английски","Английски"
"bg","es","Испански","Испански"
"bg","fi","Фински","Фински"
"bg","fr","Френски","Френски"
"bg","hu","Унгарски","Унгарски"
"bg","it","Италиански","Италиански"
"bg","ja","Японски","Японски"
"bg","ko","Корейски","Корейски"
"bg","ms","Малайски","Малайски"
"bg","nl","Нидерландски","Нидерландски"
"bg","no","Норвежки","Норвежки"
"bg","pl","Полски","Полски"
"bg","pt","Португалски","Португалски"
"bg","ro","Румънски","Румънски"
"bg","ru","Руски","Руски"
"bg","sv","Шведски","Шведски"
"bg","th","Тайски","Тайски"
"bg","tr","Турски","Турски"
"bg","zh_CN","Китайски (опростен)","Китайски (опростен)"
"bg","zh_TW","Китайски (традиционен)","Китайски (традиционен)"
