locale,code,name,descr
"cs","ar","Arabština","Arabština"
"cs","cs","Čeština","Čeština"
"cs","da","Dánština","Dánština"
"cs","de","Němčina","Němčina"
"cs","en","Angličtina","Angličtina"
"cs","es","Španělština","Španělština"
"cs","fi","Finština","Finština"
"cs","fr","Francouzština","Francouzština"
"cs","hu","Maďarština","Maďarština"
"cs","it","Italština","Italština"
"cs","ja","Japonština","Japonština"
"cs","ko","Korejština","Korejština"
"cs","ms","Malajština","Malajština"
"cs","nl","Holandština","Holandština"
"cs","no","Norština","Norština"
"cs","pl","Polština","Polština"
"cs","pt","Portugalština","Portugalština"
"cs","ro","Rumunština","Rumunština"
"cs","ru","Ruština","Ruština"
"cs","sv","Švédština","Švédština"
"cs","th","Thajština","Thajština"
"cs","tr","Turečtina","Turečtina"
"cs","zh_CN","Čínština (zjednodušená)","Čínština (zjednodušená)"
"cs","zh_TW","Čínština (tradiční)","Čínština (tradiční)"
