locale,code,name,descr
"da","ar","Arabisk","Arabisk"
"da","cs","Tjekkisk","Tjekkisk"
"da","da","Dansk","Dansk"
"da","de","Tysk","Tysk"
"da","en","Engelsk","Engelsk"
"da","es","Spansk","Spansk"
"da","fi","Finsk","Finsk"
"da","fr","Fransk","Fransk"
"da","hu","Ungarsk","Ungarsk"
"da","it","Italiensk","Italiensk"
"da","ja","Japansk","Japansk"
"da","ko","Koreansk","Koreansk"
"da","ms","Malaysisk","Malaysisk"
"da","nl","Hollandsk","Hollandsk"
"da","no","Norsk","Norsk"
"da","pl","Polsk","Polsk"
"da","pt","Portugisisk","Portugisisk"
"da","ro","Rumænsk","Rumænsk"
"da","ru","Russisk","Russisk"
"da","sv","Svensk","Svensk"
"da","th","Thailandsk","Thailandsk"
"da","tr","Tyrkisk","Tyrkisk"
"da","zh_CN","Forenklet kinesisk","Forenklet kinesisk"
"da","zh_TW","Traditionelt kinesisk","Traditionelt kinesisk"
