locale,code,name,descr
"de","ar","Arabisch","Arabisch"
"de","cs","Tschechisch","Tschechisch"
"de","da","Dänisch","Dänisch"
"de","de","Deutsch","Deutsch"
"de","en","Englisch","Englisch"
"de","es","Spanisch","Spanisch"
"de","fi","Finnisch","Finnisch"
"de","fr","Französisch","Französisch"
"de","hu","Ungarisch","Ungarisch"
"de","it","Italienisch","Italienisch"
"de","ja","Japanisch","Japanisch"
"de","ko","Koreanisch","Koreanisch"
"de","ms","Malaiisch","Malaiisch"
"de","nl","Niederländisch","Niederländisch"
"de","no","Norwegisch","Norwegisch"
"de","pl","Polnisch","Polnisch"
"de","pt","Portugiesisch","Portugiesisch"
"de","ro","Rumänisch","Rumänisch"
"de","ru","Russisch","Russisch"
"de","sv","Schwedisch","Schwedisch"
"de","th","Thailändisch","Thailändisch"
"de","tr","Türkisch","Türkisch"
"de","zh_CN","Chinesisch (vereinfacht)","Chinesisch (vereinfacht)"
"de","zh_TW","Chinesisch (traditionell)","Chinesisch (traditionell)"
