locale,code,name,descr
"el","ar","Αραβικά","Αραβικά"
"el","cs","Τσεχικά","Τσεχικά"
"el","da","Δανέζικα","Δανέζικα"
"el","de","Γερμανικά","Γερμανικά"
"el","en","Αγγλικά","Αγγλικά"
"el","es","Ισπανικά","Ισπανικά"
"el","fi","Φινλανδικά","Φινλανδικά"
"el","fr","Γαλλικά","Γαλλικά"
"el","hu","Ουγγρικά","Ουγγρικά"
"el","it","Ιταλικά","Ιταλικά"
"el","ja","Ιαπωνικά","Ιαπωνικά"
"el","ko","Κορεάτικα","Κορεάτικα"
"el","ms","Μαλαισιανά","Μαλαισιανά"
"el","nl","Ολλανδικά","Ολλανδικά"
"el","no","Νορβηγικά","Νορβηγικά"
"el","pl","Πολωνικά","Πολωνικά"
"el","pt","Πορτογαλικά","Πορτογαλικά"
"el","ro","Ρουμανικά","Ρουμανικά"
"el","ru","Ρώσικα","Ρωσικά"
"el","sv","Σουηδικά","Σουηδικά"
"el","th","Ταϊλανδέζικα","Ταϊλανδέζικα"
"el","tr","Τουρκικά","Τουρκικά"
"el","zh_CN","Απλοποιημένα Κινεζικά","Απλοποιημένα Κινεζικά"
"el","zh_TW","Παραδοσιακά Κινεζικά","Παραδοσιακά Κινεζικά"
