locale,code,name,descr
"en","ar","Arabic","Arabic"
"en","cs","Czech","Czech"
"en","da","Danish","Danish"
"en","de","German","German"
"en","en","English","English"
"en","es","Spanish","Spanish"
"en","fi","Finnish","Finnish"
"en","fr","French","French"
"en","hu","Hungarian","Hungarian"
"en","it","Italian","Italian"
"en","ja","Japanese","Japanese"
"en","ko","Korean","Korean"
"en","ms","Malay","Malay"
"en","nl","Dutch","Dutch"
"en","no","Norwegian","Norwegian"
"en","pl","Polish","Polish"
"en","pt","Portuguese","Portuguese"
"en","ro","Romanian","Romanian"
"en","ru","Russian","Russian"
"en","sv","Swedish","Swedish"
"en","th","Thai","Thai"
"en","tr","Turkish","Turkish"
"en","zh_CN","Simplified Chinese","Simplified Chinese"
"en","zh_TW","Traditional Chinese","Traditional Chinese"
