locale,code,name,descr
"1Q","ar","XdCZIGHCwLdlD/DG+DHBWg_Arabic","f7ld9+frfoZNH0aBFwbIKA_Arabic"
"1Q","cs","EJNgJd28i/4E4LoraGpV8w_Czech","toioZaLyrt0HuexEjbCJew_Czech"
"1Q","da","3LWxFQs8CwXFVZFLZ9wFyw_Danish","iFZKnPD8ODDCkrnCOnpxCg_Danish"
"1Q","de","x4eshdJLAi+Z5reJiztjZQ_German","0BhD6LLI65DE2Az1gbT5Ig_German"
"1Q","en","siysqE3ecOJOliWDkerjow_English","d+cTRdSdI7bDv42xfhOmtQ_English"
"1Q","es","/z3S5JcJ1MRhWrhOapjZNQ_Spanish","UI/isYyo8aXAnJYmxK+9eg_Spanish"
"1Q","fi","2Wsojas2DHxi3ZTx/OQ7+w_Finnish","rsGbQTrNK3OPZunjFggK9Q_Finnish"
"1Q","fr","OQHjIZ8mzUOXarFQosvj/Q_French","SJazI+NusZKFJXpYivjVLQ_French"
"1Q","hu","rGkh1SY2ZHsNWSesT7bBmA_Hungarian","uppv2VuHOMv/6vS0mRpDhQ_Hungarian"
"1Q","it","pIcF45qb8quZa8jyMuwJ6Q_Italian","IGMHW9yo3DyFVXVxUuQS3g_Italian"
"1Q","ja","hkOE/r08QgSHD52+1V//dg_Japanese","KAjSgPxSV1NZpA0SecQeAA_Japanese"
"1Q","ko","dCUCM/s4TcxKxC90MubFNw_Korean","c8g6vbDNOd2VxzSfcwTLrA_Korean"
"1Q","ms","iemJl4yTYpD3DRslyE+IZw_Malay","fkzdEMovSOg4CdZbeDXIow_Malay"
"1Q","nl","liJfrCIk0k+TMPDtI8zC6w_Dutch","LaL+cFVLmqFoovdFHztGpg_Dutch"
"1Q","no","LZQc0yf80jxNgNaSeuJB1A_Norwegian","selTjvZLaPJ0BT8neCN3IQ_Norwegian"
"1Q","pl","4DhgEi+Oorjw7ynf9xz/Gg_Polish","77kQMjc1edAMxtNjWpzn0g_Polish"
"1Q","pt","n3yPTyjj1jJ8cqoj7MDmQw_Portuguese","M8Xo/uicFrisZaWOhS+Ofw_Portuguese"
"1Q","ro","mTJ2e9nBBNPqp/px5ihqAA_Romanian","czx3vCWGSnEh726UxGN4hA_Romanian"
"1Q","ru","Wn//NKP2LqHXGRgCIMqrmw_Russian","MRk3oO9WkCYeHt3JtN3VRQ_Russian"
"1Q","sv","1xwdiFfiZke7DGK1O4HAqw_Swedish","sSLcVIZ/nSx2GkyDOnXnNA_Swedish"
"1Q","th","A0qVOjqpuZgoZdZQYBYT1g_Thai","7t5tPH1Vozu2j+/ZGE7PaQ_Thai"
"1Q","tr","AOEynYF+xHarePsA8LYK1w_Turkish","QkPXLmx+v38occ1GArA2SA_Turkish"
"1Q","zh_CN","i3BsWMG6dhQsAPhtAZaUCw_Simplified Chinese","uBKQ4efc4Jt4ODZ1t64Oxg_Simplified Chinese"
"1Q","zh_TW","Ap1OOMjzrP1Bs7JJvZhaIg_Traditional Chinese","lnQqWfVaxkHNWIJ7RmInFQ_Traditional Chinese"
