locale,code,name,descr
"es","ar","Árabe","Árabe"
"es","cs","Checo","Checo"
"es","da","Danés","Danés"
"es","de","Alemán","Alemán"
"es","en","Inglés","Inglés"
"es","es","Español","Español"
"es","fi","Finlandés","Finlandés"
"es","fr","Francés","Francés"
"es","hu","Húngaro","Húngaro"
"es","it","Italiano","Italiano"
"es","ja","Japonés","Japonés"
"es","ko","Coreano","Coreano"
"es","ms","Malayo","Malayo"
"es","nl","Neerlandés","Neerlandés"
"es","no","Noruego","Noruego"
"es","pl","Polaco","Polaco"
"es","pt","Portugués","Portugués"
"es","ro","Rumano","Rumano"
"es","ru","Ruso","Ruso"
"es","sv","Sueco","Sueco"
"es","th","Tailandés","Tailandés"
"es","tr","Turco","Turco"
"es","zh_CN","Chino simplificado","Chino simplificado"
"es","zh_TW","Chino tradicional","Chino tradicional"
