locale,code,name,descr
"es_MX","ar","Árabe","Árabe"
"es_MX","cs","Checo","Checo"
"es_MX","da","Danés","Danés"
"es_MX","de","Alemán","Alemán"
"es_MX","en","Inglés","Inglés"
"es_MX","es","Español","Español"
"es_MX","fi","Finlandés","Finlandés"
"es_MX","fr","Francés","Francés"
"es_MX","hu","Húngaro","Húngaro"
"es_MX","it","Italiano","Italiano"
"es_MX","ja","Japonés","Japonés"
"es_MX","ko","Coreano","Coreano"
"es_MX","ms","Malayo","Malayo"
"es_MX","nl","Neerlandés","Neerlandés"
"es_MX","no","Noruego","Noruego"
"es_MX","pl","Polaco","Polaco"
"es_MX","pt","Portugués","Portugués"
"es_MX","ro","Rumano","Rumano"
"es_MX","ru","Ruso","Ruso"
"es_MX","sv","Sueco","Sueco"
"es_MX","th","Tailandés","Tailandés"
"es_MX","tr","Turco","Turco"
"es_MX","zh_CN","Chino simplificado","Chino simplificado"
"es_MX","zh_TW","Chino tradicional","Chino tradicional"
