locale,code,name,descr
"fi","ar","arabia","arabia"
"fi","cs","tšekki","tšekki"
"fi","da","tanska","tanska"
"fi","de","saksa","saksa"
"fi","en","englanti","englanti"
"fi","es","espanja","espanja"
"fi","fi","suomi","suomi"
"fi","fr","ranska","ranska"
"fi","hu","unkari","unkari"
"fi","it","italia","italia"
"fi","ja","japani","japani"
"fi","ko","korea","korea"
"fi","ms","malaiji","malaiji"
"fi","nl","hollanti","hollanti"
"fi","no","norja","norja"
"fi","pl","puola","puola"
"fi","pt","portugali","portugali"
"fi","ro","romania","romania"
"fi","ru","venäjä","venäjä"
"fi","sv","ruotsi","ruotsi"
"fi","th","thai","thai"
"fi","tr","turkki","turkki"
"fi","zh_CN","yksinkertaistettu kiina","yksinkertaistettu kiina"
"fi","zh_TW","perinteinen kiina","perinteinen kiina"
