locale,code,name,descr
"fr","ar","Arabe","Arabe"
"fr","cs","Tchèque","Tchèque"
"fr","da","Danois","Danois"
"fr","de","Allemand","Allemand"
"fr","en","Anglais","Anglais"
"fr","es","Espagnol","Espagnol"
"fr","fi","Finnois","Finnois"
"fr","fr","Français","Français"
"fr","hu","Hongrois","Hongrois"
"fr","it","Italien","Italien"
"fr","ja","Japonais","Japonais"
"fr","ko","Coréen","Coréen"
"fr","ms","Malais","Malais"
"fr","nl","Néerlandais","Néerlandais"
"fr","no","Norvégien","Norvégien"
"fr","pl","Polonais","Polonais"
"fr","pt","Portugais","Portugais"
"fr","ro","Roumain","Roumain"
"fr","ru","Russe","Russe"
"fr","sv","Suédois","Suédois"
"fr","th","Thaï","Thaï"
"fr","tr","Turc","Turc"
"fr","zh_CN","Chinois simplifié","Chinois simplifié"
"fr","zh_TW","Chinois traditionnel","Chinois traditionnel"
