locale,code,name,descr
"he","ar","ערבית","ערבית"
"he","cs","צ'כית","צ'כית"
"he","da","דנית","דנית"
"he","de","גרמנית","גרמנית"
"he","en","אנגלית","אנגלית"
"he","es","ספרדית","ספרדית"
"he","fi","פינית","פינית"
"he","fr","צרפתית","צרפתית"
"he","hu","הונגרית","הונגרית"
"he","it","איטלקית","איטלקית"
"he","ja","יפנית","יפנית"
"he","ko","קוריאנית","קוריאנית"
"he","ms","מלאית","מלאית"
"he","nl","הולנדית","הולנדית"
"he","no","נורבגית","נורבגית"
"he","pl","פולנית","פולנית"
"he","pt","פורטוגזית","פורטוגזית"
"he","ro","רומנית","רומנית"
"he","ru","רוסית","רוסית"
"he","sv","שוודית","שוודית"
"he","th","תאילנדית","תאילנדית"
"he","tr","טורקית","טורקית"
"he","zh_CN","סינית פשוטה","סינית פשוטה"
"he","zh_TW","סינית מסורתית","סינית מסורתית"
