locale,code,name,descr
"hr","ar","Arapski","Arapski"
"hr","cs","Češki","Češki"
"hr","da","Danski","Danski"
"hr","de","Njemački","Njemački"
"hr","en","Engleski","Engleski"
"hr","es","Španjolski","Španjolski"
"hr","fi","Finski","Finski"
"hr","fr","Francuski","Francuski"
"hr","hu","Mađarski","Mađarski"
"hr","it","Talijanski","Talijanski"
"hr","ja","Japanski","Japanski"
"hr","ko","Korejski","Korejski"
"hr","ms","Malajski","Malajski"
"hr","nl","Nizozemski","Nizozemski"
"hr","no","Norveški","Norveški"
"hr","pl","Poljski","Poljski"
"hr","pt","Portugalski","Portugalski"
"hr","ro","Rumunjski","Rumunjski"
"hr","ru","Ruski","Ruski"
"hr","sv","Švedski","Švedski"
"hr","th","Tajski","Tajski"
"hr","tr","Turski","Turski"
"hr","zh_CN","Pojednostavljeni kineski","Pojednostavljeni kineski"
"hr","zh_TW","Tradicionalni kineski","Tradicionalni kineski"
