locale,code,name,descr
"hu","ar","Arab","Arab"
"hu","cs","Cseh","Cseh"
"hu","da","Dán","Dán"
"hu","de","Német","Német"
"hu","en","Angol","Angol"
"hu","es","Spanyol","Spanyol"
"hu","fi","Finn","Finn"
"hu","fr","Francia","Francia"
"hu","hu","Magyar","Magyar"
"hu","it","Olasz","Olasz"
"hu","ja","Japán","Japán"
"hu","ko","Koreai","Koreai"
"hu","ms","Maláj","Maláj"
"hu","nl","Holland","Holland"
"hu","no","Norvég","Norvég"
"hu","pl","Lengyel","Lengyel"
"hu","pt","Portugál","Portugál"
"hu","ro","Román","Román"
"hu","ru","Orosz","Orosz"
"hu","sv","Svéd","Svéd"
"hu","th","Thai","Thai"
"hu","tr","Török","Török"
"hu","zh_CN","egyszerűsített kínai","egyszerűsített kínai"
"hu","zh_TW","hagyományos kínai","hagyományos kínai"
