locale,code,name,descr
"it","ar","Arabo","Arabo"
"it","cs","Ceco","Ceco"
"it","da","Danese","Danese"
"it","de","Tedesco","Tedesco"
"it","en","Inglese","Inglese"
"it","es","Spagnolo","Spagnolo"
"it","fi","Finlandese","Finlandese"
"it","fr","Francese","Francese"
"it","hu","Ungherese","Ungherese"
"it","it","Italiano","Italiano"
"it","ja","Giapponese","Giapponese"
"it","ko","Coreano","Coreano"
"it","ms","Malese","Malese"
"it","nl","Olandese","Olandese"
"it","no","Norvegese","Norvegese"
"it","pl","Polacco","Polacco"
"it","pt","Portoghese","Portoghese"
"it","ro","Rumeno","Rumeno"
"it","ru","Russo","Russo"
"it","sv","Svedese","Svedese"
"it","th","Thailandese","Thailandese"
"it","tr","Turco","Turco"
"it","zh_CN","Cinese semplificato","Cinese semplificato"
"it","zh_TW","Cinese tradizionale","Cinese tradizionale"
