locale,code,name,descr
"ja","ar","アラビア語","アラビア語"
"ja","cs","チェコ語","チェコ語"
"ja","da","デンマーク語","デンマーク語"
"ja","de","ドイツ語","ドイツ語"
"ja","en","英語","英語"
"ja","es","スペイン語","スペイン語"
"ja","fi","フィンランド語","フィンランド語"
"ja","fr","フランス語","フランス語"
"ja","hu","ハンガリー語","ハンガリー語"
"ja","it","イタリア語","イタリア語"
"ja","ja","日本語","日本語"
"ja","ko","韓国語","韓国語"
"ja","ms","マレー語","マレー語"
"ja","nl","オランダ語","オランダ語"
"ja","no","ノルウエー語","ノルウェー語"
"ja","pl","ポーランド語","ポーランド語"
"ja","pt","ポルトガル語","ポルトガル語"
"ja","ro","ルーマニア語","ルーマニア語"
"ja","ru","ロシア語","ロシア語"
"ja","sv","スウェーデン語","スウェーデン語"
"ja","th","タイ語","タイ語"
"ja","tr","トルコ語","トルコ語"
"ja","zh_CN","簡体中国語","簡体中国語"
"ja","zh_TW","繁体中国語","繁体中国語"
