locale,code,name,descr
"kk","ar","Араб","Араб"
"kk","cs","Чех","Чех"
"kk","da","Дат","Дат"
"kk","de","Неміс","Неміс"
"kk","en","Ағылшын","Ағылшын"
"kk","es","Испан","Испан"
"kk","fi","Фин","Фин"
"kk","fr","Француз","Француз"
"kk","hu","Венгр","Венгр"
"kk","it","Итальян","Итальян"
"kk","ja","Жапон","Жапон"
"kk","ko","Корей","Корей"
"kk","ms","Малай","Малай"
"kk","nl","Нидерланд","Нидерланд"
"kk","no","Норвег","Норвег"
"kk","pl","Поляк","Поляк"
"kk","pt","Португал","Португал"
"kk","ro","Румын","Румын"
"kk","ru","Орыс","Орыс"
"kk","sv","Швед","Швед"
"kk","th","Тай","Тай"
"kk","tr","Түрік","Түрік"
"kk","zh_CN","Оңайлатылған қытайша","Оңайлатылған қытайша"
"kk","zh_TW","Дәстүрлі қытайша","Дәстүрлі қытайша"
