locale,code,name,descr
"ko","ar","아랍어","아랍어"
"ko","cs","체코어","체코어"
"ko","da","덴마크어","덴마크어"
"ko","de","독일어","독일어"
"ko","en","영어","영어"
"ko","es","스페인어","스페인어"
"ko","fi","핀란드어","핀란드어"
"ko","fr","프랑스어","프랑스어"
"ko","hu","헝가리어","헝가리어"
"ko","it","이탈리아어","이탈리아어"
"ko","ja","일본어","일본어"
"ko","ko","한국어","한국어"
"ko","ms","말레이어","말레이어"
"ko","nl","네덜란드어","네덜란드어"
"ko","no","노르웨이어","노르웨이어"
"ko","pl","폴란드어","폴란드어"
"ko","pt","포르투갈어","포르투갈어"
"ko","ro","루마니아어","루마니아어"
"ko","ru","러시아어","러시아어"
"ko","sv","스웨덴어","스웨덴어"
"ko","th","태국어","태국어"
"ko","tr","터키어","터키어"
"ko","zh_CN","중국어 간체","중국어 간체"
"ko","zh_TW","중국어 번체","중국어 번체"
