locale,code,name,descr
"ms","ar","Bahasa Arab","Bahasa Arab"
"ms","cs","Bahasa Czechoslovakia","Bahasa Czechoslovakia"
"ms","da","Bahasa Denmark","Bahasa Denmark"
"ms","de","Bahasa Jerman","Bahasa Jerman"
"ms","en","Bahasa Inggeris","Bahasa Inggeris"
"ms","es","Bahasa Sepanyol","Bahasa Sepanyol"
"ms","fi","Bahasa Finland","Bahasa Finland"
"ms","fr","Bahasa Perancis","Bahasa Perancis"
"ms","hu","Bahasa Hungary","Bahasa Hungary"
"ms","it","Bahasa Itali","Bahasa Itali"
"ms","ja","Bahasa Jepun","Bahasa Jepun"
"ms","ko","Bahasa Korea","Bahasa Korea"
"ms","ms","Bahasa Melayu","Bahasa Melayu"
"ms","nl","Bahasa Belanda","Bahasa Belanda"
"ms","no","Bahasa Norway","Bahasa Norway"
"ms","pl","Bahasa Poland","Bahasa Poland"
"ms","pt","Bahasa Portugis","Bahasa Portugis"
"ms","ro","Bahasa Romania","Bahasa Romania"
"ms","ru","Bahasa Rusia","Bahasa Rusia"
"ms","sv","Bahasa Sweden","Bahasa Sweden"
"ms","th","Bahasa Thai","Bahasa Thai"
"ms","tr","Bahasa Turki","Bahasa Turki"
"ms","zh_CN","Bahasa Cina Ringkas","Bahasa Cina Ringkas"
"ms","zh_TW","Bahasa Cina Tradisional","Bahasa Cina Tradisional"
