locale,code,name,descr
"nl","ar","Arabisch","Arabisch"
"nl","cs","Tsjechisch","Tsjechisch"
"nl","da","Deens","Deens"
"nl","de","Duits","Duits"
"nl","en","Engels","Engels"
"nl","es","Spaans","Spaans"
"nl","fi","Fins","Fins"
"nl","fr","Frans","Frans"
"nl","hu","Hongaars","Hongaars"
"nl","it","Italiaans","Italiaans"
"nl","ja","Japans","Japans"
"nl","ko","Koreaans","Koreaans"
"nl","ms","Maleis","Maleis"
"nl","nl","Nederlands","Nederlands"
"nl","no","Noors","Noors"
"nl","pl","Pools","Pools"
"nl","pt","Portugees","Portugees"
"nl","ro","Roemeens","Roemeens"
"nl","ru","Russisch","Russisch"
"nl","sv","Zweeds","Zweeds"
"nl","th","Thais","Thais"
"nl","tr","Turks","Turks"
"nl","zh_CN","Vereenvoudigd Chinees","Vereenvoudigd Chinees"
"nl","zh_TW","Traditioneel Chinees","Traditioneel Chinees"
