locale,code,name,descr
"no","ar","Arabisk","Arabisk"
"no","cs","Tsjekkisk","Tsjekkisk"
"no","da","Dansk","Dansk"
"no","de","Tysk","Tysk"
"no","en","Engelsk","Engelsk"
"no","es","Spansk","Spansk"
"no","fi","Finsk","Finsk"
"no","fr","Fransk","Fransk"
"no","hu","Ungarsk","Ungarsk"
"no","it","Italiensk","Italiensk"
"no","ja","Japansk","Japansk"
"no","ko","Koreansk","Koreansk"
"no","ms","Malayisk","Malayisk"
"no","nl","Nederlandsk","Nederlandsk"
"no","no","Norsk","Norsk"
"no","pl","Polsk","Polsk"
"no","pt","Portugisisk","Portugisisk"
"no","ro","Rumensk","Rumensk"
"no","ru","Russisk","Russisk"
"no","sv","Svensk","Svensk"
"no","th","Thai","Thai"
"no","tr","Tyrkisk","Tyrkisk"
"no","zh_CN","Forenklet kinesisk","Forenklet kinesisk"
"no","zh_TW","Tradisjonell kinesisk","Tradisjonell kinesisk"
