locale,code,name,descr
"pl","ar","Arabski","Arabski"
"pl","cs","Czeski","Czeski"
"pl","da","Duński","Duński"
"pl","de","Niemiecki","Niemiecki"
"pl","en","Angielski","Angielski"
"pl","es","Hiszpański","Hiszpański"
"pl","fi","Fiński","Fiński"
"pl","fr","Francuski","Francuski"
"pl","hu","Węgierski","Węgierski"
"pl","it","Włoski","Włoski"
"pl","ja","Japoński","Japoński"
"pl","ko","Koreański","Koreański"
"pl","ms","Malajski","Malajski"
"pl","nl","Niderlandzki","Niderlandzki"
"pl","no","Norweski","Norweski"
"pl","pl","Polski","Polski"
"pl","pt","Portugalski","Portugalski"
"pl","ro","Rumuński","Rumuński"
"pl","ru","Rosyjski","Rosyjski"
"pl","sv","Szwedzki","Szwedzki"
"pl","th","Tajlandzki","Tajlandzki"
"pl","tr","Turecki","Turecki"
"pl","zh_CN","Chiński uproszczony","Chiński uproszczony"
"pl","zh_TW","Chiński tradycyjny","Chiński tradycyjny"
