locale,code,name,descr
"pt","ar","Árabe","Árabe"
"pt","cs","Tcheco","Tcheco"
"pt","da","Dinamarquês","Dinamarquês"
"pt","de","Alemão","Alemão"
"pt","en","Inglês","Inglês"
"pt","es","Espanhol","Espanhol"
"pt","fi","Finlandês","Finlandês"
"pt","fr","Francês","Francês"
"pt","hu","Húngaro","Húngaro"
"pt","it","Italiano","Italiano"
"pt","ja","Japonês","Japonês"
"pt","ko","Coreano","Coreano"
"pt","ms","Malaio","Malaio"
"pt","nl","Holandês","Holandês"
"pt","no","Norueguês","Norueguês"
"pt","pl","Polonês","Polonês"
"pt","pt","Português","Português"
"pt","ro","Romeno","Romeno"
"pt","ru","Russo","Russo"
"pt","sv","Sueco","Sueco"
"pt","th","Tailandês","Tailandês"
"pt","tr","Turco","Turco"
"pt","zh_CN","Chinês simplificado","Chinês simplificado"
"pt","zh_TW","Chinês tradicional","Chinês tradicional"
