locale,code,name,descr
"ro","ar","arabă","arabă"
"ro","cs","cehă","cehă"
"ro","da","daneză","daneză"
"ro","de","germană","germană"
"ro","en","engleză","engleză"
"ro","es","spaniolă","spaniolă"
"ro","fi","finlandeză","finlandeză"
"ro","fr","franceză","franceză"
"ro","hu","maghiară","maghiară"
"ro","it","italiană","italiană"
"ro","ja","japoneză","japoneză"
"ro","ko","coreeană","coreeană"
"ro","ms","malaeză","malaeză"
"ro","nl","olandeză","olandeză"
"ro","no","norvegiană","norvegiană"
"ro","pl","poloneză","poloneză"
"ro","pt","portugheză","portugheză"
"ro","ro","română","română"
"ro","ru","rusă","rusă"
"ro","sv","suedeză","suedeză"
"ro","th","thailandeză","thailandeză"
"ro","tr","turcă","turcă"
"ro","zh_CN","chineză simplificată","chineză simplificată"
"ro","zh_TW","chineză tradițională","chineză tradițională"
