locale,code,name,descr
"ru","ar","Арабский","Арабский"
"ru","cs","Чешский","Чешский"
"ru","da","Датский","Датский"
"ru","de","Немецкий","Немецкий"
"ru","en","Английский","Английский"
"ru","es","Испанский","Испанский"
"ru","fi","Финский","Финский"
"ru","fr","Французский","Французский"
"ru","hu","Венгерский","Венгерский"
"ru","it","Итальянский","Итальянский"
"ru","ja","Японский","Японский"
"ru","ko","Корейский","Корейский"
"ru","ms","Малайский","Малайский"
"ru","nl","Нидерландский","Нидерландский"
"ru","no","Норвежский","Норвежский"
"ru","pl","Польский","Польский"
"ru","pt","Португальский","Португальский"
"ru","ro","Румынский","Румынский"
"ru","ru","Русский","Русский"
"ru","sv","Шведский","Шведский"
"ru","th","Таиландский","Таиландский"
"ru","tr","Турецкий","Турецкий"
"ru","zh_CN","Китайский, упрощенное письмо","Китайский, упрощенное письмо"
"ru","zh_TW","Китайский, традиционное письмо","Китайский, традиционное письмо"
