locale,code,name,descr
"sh","ar","Arapski","Arapski"
"sh","cs","Češki","Češki"
"sh","da","Danski","Danski"
"sh","de","Nemački","Nemački"
"sh","en","Engleski","Engleski"
"sh","es","Španski","Španski"
"sh","fi","Finski","Finski"
"sh","fr","Francuski","Francuski"
"sh","hu","Mađarski","Mađarski"
"sh","it","Italijanski","Italijanski"
"sh","ja","Japanski","Japanski"
"sh","ko","Korejski","Korejski"
"sh","ms","Malajski","Malajski"
"sh","nl","Holandski","Holandski"
"sh","no","Norveški","Norveški"
"sh","pl","Poljski","Poljski"
"sh","pt","Portugalski","Portugalski"
"sh","ro","Rumunski","Rumunski"
"sh","ru","Ruski","Ruski"
"sh","sv","Švedski","Švedski"
"sh","th","Tajlandski","Tajlandski"
"sh","tr","Turski","Turski"
"sh","zh_CN","Pojednostavljeni kineski","Pojednostavljeni kineski"
"sh","zh_TW","Tradicionalni kineski","Tradicionalni kineski"
