locale,code,name,descr
"sk","ar","Arabčina","Arabčina"
"sk","cs","Čeština","Čeština"
"sk","da","Dánčina","Dánčina"
"sk","de","Nemčina","nemčina"
"sk","en","Anglický","angličtina"
"sk","es","Španielčina","španielčina"
"sk","fi","Fínčina","Fínčina"
"sk","fr","Francúzština","francúzština"
"sk","hu","Maďarčina","Maďarčina"
"sk","it","Taliančina","Taliančina"
"sk","ja","Japončina","Japončina"
"sk","ko","Kórejčina","Kórejčina"
"sk","ms","malajčina","malajčina"
"sk","nl","Holandčina","Holandčina"
"sk","no","Nórčina","Nórčina"
"sk","pl","Poľština","Poľština"
"sk","pt","Portugalčina","portugalčina"
"sk","ro","Rumunčina","Rumunčina"
"sk","ru","Ruština","Ruština"
"sk","sv","Švédčina","Švédčina"
"sk","th","Thajčina","Thajčina"
"sk","tr","Turečtina","Turečtina"
"sk","zh_CN","čínština (zjednodušená)","čínština (zjednodušená)"
"sk","zh_TW","čínština (tradičná)","čínština (tradičná)"
