locale,code,name,descr
"sl","ar","Arabščina","Arabščina"
"sl","cs","Češčina","Češčina"
"sl","da","Danščina","Danščina"
"sl","de","Nemščina","Nemščina"
"sl","en","Angleščina","Angleščina"
"sl","es","Španščina","Španščina"
"sl","fi","Finščina","Finščina"
"sl","fr","Francoščina","Francoščina"
"sl","hu","Madžarščina","Madžarščina"
"sl","it","Italijanščina","Italijanščina"
"sl","ja","Japonščina","Japonščina"
"sl","ko","Korejščina","Korejščina"
"sl","ms","Malajščina","Malajščina"
"sl","nl","Nizozemščina","Nizozemščina"
"sl","no","Norveščina","Norveščina"
"sl","pl","Poljščina","Poljščina"
"sl","pt","Portugalščina","Portugalščina"
"sl","ro","Romunščina","Romunščina"
"sl","ru","Ruščina","Ruščina"
"sl","sv","Švedščina","Švedščina"
"sl","th","Tajščina","Tajščina"
"sl","tr","Turščina","Turščina"
"sl","zh_CN","Poenostavljena kitajščina","Poenostavljena kitajščina"
"sl","zh_TW","Tradicionalna kitajščina","Tradicionalna kitajščina"
