locale,code,name,descr
"sv","ar","Arabiska","Arabiska"
"sv","cs","Tjeckiska","Tjeckiska"
"sv","da","Danska","Danska"
"sv","de","Tyska","Tyska"
"sv","en","Engelska","Engelska"
"sv","es","Spanska","Spanska"
"sv","fi","Finska","Finska"
"sv","fr","Franska","Franska"
"sv","hu","Ungerska","Ungerska"
"sv","it","Italienska","Italienska"
"sv","ja","Japanska","Japanska"
"sv","ko","Koreanska","Koreanska"
"sv","ms","Malajiska","Malajiska"
"sv","nl","Nederländska","Nederländska"
"sv","no","Norska","Norska"
"sv","pl","Polska","Polska"
"sv","pt","Portugisiska","Portugisiska"
"sv","ro","Rumänska","Rumänska"
"sv","ru","Ryska","Ryska"
"sv","sv","Svenska","Svenska"
"sv","th","Thai","Thai"
"sv","tr","Turkiska","Turkiska"
"sv","zh_CN","Förenklad kinesiska","Förenklad kinesiska"
"sv","zh_TW","Traditionell kinesiska","Traditionell kinesiska"
