locale,code,name,descr
"tr","ar","Arapça","Arapça"
"tr","cs","Çekçe","Çekçe"
"tr","da","Danca","Danca"
"tr","de","Almanca","Almanca"
"tr","en","İngilizce","İngilizce"
"tr","es","İspanyolca","İspanyolca"
"tr","fi","Fince","Fince"
"tr","fr","Fransızca","Fransızca"
"tr","hu","Macarca","Macarca"
"tr","it","İtalyanca","İtalyanca"
"tr","ja","Japonca","Japonca"
"tr","ko","Korece","Korece"
"tr","ms","Malayca","Malayca"
"tr","nl","Felemenkçe","Felemenkçe"
"tr","no","Norveççe","Norveççe"
"tr","pl","Lehçe","Lehçe"
"tr","pt","Portekizce","Portekizce"
"tr","ro","Romence","Romence"
"tr","ru","Rusça","Rusça"
"tr","sv","İsveççe","İsveççe"
"tr","th","Tay Dili","Tay Dili"
"tr","tr","Türkçe","Türkçe"
"tr","zh_CN","Basitleştirilmiş Çince","Basitleştirilmiş Çince"
"tr","zh_TW","Geleneksel Çince","Geleneksel Çince"
