locale,code,name,descr
"uk","ar","Арабська","Арабська"
"uk","cs","Чеська","Чеська"
"uk","da","Датська","Датська"
"uk","de","Німецька","Німецька"
"uk","en","Англійська","Англійська"
"uk","es","Іспанська","Іспанська"
"uk","fi","Фінська","Фінська"
"uk","fr","Французька","Французька"
"uk","hu","Угорська","Угорська"
"uk","it","Італійська","Італійська"
"uk","ja","Японська","Японська"
"uk","ko","Корейська","Корейська"
"uk","ms","Малайська","Малайська"
"uk","nl","Голландська","Голландська"
"uk","no","Норвезька","Норвезька"
"uk","pl","Польська","Польська"
"uk","pt","Португальська","Португальська"
"uk","ro","Румунська","Румунська"
"uk","ru","Російська","Російська"
"uk","sv","Шведська","Шведська"
"uk","th","Тайська","Тайська"
"uk","tr","Турецька","Турецька"
"uk","zh_CN","Спрощена китайська","Спрощена китайська"
"uk","zh_TW","Традиційна китайська","Традиційна китайська"
