locale,code,name,descr
"zh_TW","ar","阿拉伯文","阿拉伯文"
"zh_TW","cs","捷克文","捷克文"
"zh_TW","da","丹麥文","丹麥文"
"zh_TW","de","德文","德文"
"zh_TW","en","英文","英文"
"zh_TW","es","西班牙文","西班牙文"
"zh_TW","fi","芬蘭文","芬蘭文"
"zh_TW","fr","法文","法文"
"zh_TW","hu","匈牙利文","匈牙利文"
"zh_TW","it","義大利文","義大利文"
"zh_TW","ja","日文","日文"
"zh_TW","ko","韓文","韓文"
"zh_TW","ms","馬來文","馬來文"
"zh_TW","nl","荷蘭文","荷蘭文"
"zh_TW","no","挪威文","挪威文"
"zh_TW","pl","波蘭文","波蘭文"
"zh_TW","pt","葡萄牙文","葡萄牙文"
"zh_TW","ro","羅馬尼亞文","羅馬尼亞文"
"zh_TW","ru","俄文","俄文"
"zh_TW","sv","瑞典文","瑞典文"
"zh_TW","th","泰文","泰文"
"zh_TW","tr","土耳其文","土耳其文"
"zh_TW","zh_CN","簡體中文","簡體中文"
"zh_TW","zh_TW","繁體中文","繁體中文"
